,time,open,high,low,close,volume
2290,2022-04-28 12:10:00,840.25,840.28,836.87,839.37,208134
2291,2022-04-28 12:05:00,838.77,840.78,836.9731,840.509,240144
2292,2022-04-28 12:00:00,835.87,839.8602,834.7273,839.4073,191067
2293,2022-04-28 11:55:00,835.72,839.8,833.884,835.87,253724
2294,2022-04-28 11:50:00,833.4025,836.49,832.1,835.64,189790
2295,2022-04-28 11:45:00,833.76,837.4913,832.75,833.58,244362
2296,2022-04-28 11:40:00,841.41,841.41,832.5114,833.76,447161
2297,2022-04-28 11:35:00,839.5,844.97,839.11,840.522,317069
2298,2022-04-28 11:30:00,839.3731,841.49,837.7684,839.74,262136
2299,2022-04-28 11:25:00,844.5351,844.54,838.54,839.16,412405
2300,2022-04-28 11:20:00,845.495,847.9,842.7527,844.4031,457660
2301,2022-04-28 11:15:00,842.415,846.3375,842.29,845.55,492519
2302,2022-04-28 11:10:00,838.0,845.4,835.52,842.355,562983
2303,2022-04-28 11:05:00,838.7,840.8,835.5,838.06,444542
2304,2022-04-28 11:00:00,834.58,839.49,833.76,838.7,462195
2305,2022-04-28 10:55:00,829.17,836.6299,828.31,834.54,461326
2306,2022-04-28 10:50:00,831.21,834.5148,828.11,829.18,456153
2307,2022-04-28 10:45:00,830.94,834.649,828.1874,831.462,360666
2308,2022-04-28 10:40:00,828.4077,834.87,827.68,830.88,401624
2309,2022-04-28 10:35:00,826.96,832.39,825.5,828.03,610507
2310,2022-04-28 10:30:00,834.3,834.69,826.5,826.97,573490
2311,2022-04-28 10:25:00,841.23,842.81,833.59,833.7754,615933
2312,2022-04-28 10:20:00,833.62,842.63,828.0,841.62,827046
2313,2022-04-28 10:15:00,828.35,837.22,825.3939,833.195,815210
2314,2022-04-28 10:10:00,829.925,833.7514,821.7,828.0,1205801
2315,2022-04-28 10:05:00,842.21,844.9,827.04,830.14,1181880
2316,2022-04-28 10:00:00,838.83,843.8799,835.94,842.35,860852
2317,2022-04-28 09:55:00,837.66,843.6141,830.0,839.01,1381480
2318,2022-04-28 09:50:00,846.0838,851.8899,836.6907,837.67,1519803
2319,2022-04-28 09:45:00,860.0625,869.24,843.29,845.86,1511591
